Timestamp,Voltage_L1_V,Voltage_L2_V,Voltage_L3_V,Current_L1_A,Current_L2_A,Current_L3_A,Frequency_Hz,PowerFactor,ActivePower_kW,ReactivePower_kVAR,ApparentPower_kVA,Energy_kWh
17-06-25 00:00,230.2,230.8,230.1,11.8,11.7,12.3,49.99,0.97,8.8,1.2,8.9,17547.7
17-06-25 00:01,229.1,230.7,229.8,12.1,12.2,12.3,50.0,0.97,8.7,1.2,8.8,17547.8
17-06-25 00:02,229.8,229.3,231.3,11.8,12.3,12.4,50.05,0.96,8.9,1.0,9.0,17547.9
17-06-25 00:03,231.0,229.5,231.1,12.3,12.3,11.7,49.98,0.99,8.8,1.2,8.9,17548.0
17-06-25 00:04,230.6,230.3,230.3,12.3,11.6,11.9,50.04,0.98,8.7,1.1,8.8,17548.1
17-06-25 00:05,229.9,229.5,229.6,11.9,12.3,11.8,49.99,0.99,8.6,1.2,8.7,17548.2
17-06-25 00:06,229.1,231.0,231.1,11.5,12.5,11.5,49.98,0.97,8.7,1.0,8.8,17548.3
17-06-25 00:07,230.1,229.5,230.2,11.7,12.2,11.7,50.04,0.98,8.8,1.1,8.9,17548.4
17-06-25 00:08,229.5,230.3,230.9,12.0,12.3,12.1,49.99,0.98,8.6,1.1,8.7,17548.5
17-06-25 00:09,229.4,229.6,230.1,12.0,11.6,12.4,49.98,0.97,8.9,1.1,9.0,17548.6
17-06-25 00:10,230.4,229.6,230.6,12.1,12.0,12.0,50.03,0.97,8.8,1.1,8.9,17548.7
17-06-25 00:11,229.5,230.3,230.6,12.4,11.7,12.3,50.03,0.99,8.8,1.3,8.9,17548.8
17-06-25 00:12,229.4,230.8,230.2,11.6,12.4,12.5,49.96,0.99,8.9,1.1,9.0,17548.9
17-06-25 00:13,230.4,229.2,229.8,12.1,12.3,11.7,50.03,0.96,8.7,1.2,8.8,17549.0
17-06-25 00:14,229.6,230.2,230.3,12.3,12.1,11.8,50.0,0.97,9.0,1.2,9.1,17549.2
17-06-25 00:15,230.5,230.0,229.6,12.3,12.0,12.3,50.02,0.97,8.7,1.2,8.8,17549.3
17-06-25 00:16,230.8,230.0,231.2,11.7,11.8,12.3,50.04,0.98,8.5,1.0,8.6,17549.4
17-06-25 00:17,229.4,230.0,231.4,11.7,12.4,11.5,49.99,0.98,9.0,1.1,9.1,17549.6
17-06-25 00:18,230.5,230.9,230.9,12.0,11.5,11.6,49.96,0.98,8.9,1.2,9.0,17549.7
17-06-25 00:19,230.8,230.7,231.3,11.8,12.3,11.9,50.02,0.98,8.8,1.2,8.9,17549.8
17-06-25 00:20,229.8,230.4,230.6,12.4,12.4,12.2,49.98,0.96,8.6,1.3,8.7,17549.9
17-06-25 00:21,229.5,229.6,229.7,11.7,11.9,12.2,49.99,0.96,8.5,1.2,8.6,17550.0
17-06-25 00:22,229.2,229.2,229.9,12.2,11.8,11.7,50.0,0.96,8.7,1.3,8.8,17550.1
17-06-25 00:23,229.4,229.7,230.9,12.2,11.6,12.3,49.96,0.98,8.9,1.2,9.0,17550.2
17-06-25 00:24,229.6,230.5,231.2,11.9,11.6,12.4,50.03,0.99,8.8,1.2,8.9,17550.3
17-06-25 00:25,230.3,230.8,231.1,11.9,12.1,12.4,49.99,0.99,8.7,1.1,8.8,17550.4
17-06-25 00:26,230.8,230.6,230.9,11.7,11.8,12.5,49.97,0.97,8.8,1.1,8.9,17550.5
17-06-25 00:27,230.7,230.1,231.4,11.9,11.5,12.0,50.02,0.97,8.9,1.1,9.0,17550.6
17-06-25 00:28,229.4,229.8,231.1,11.5,12.1,11.7,50.03,0.99,8.9,1.1,9.0,17550.7
17-06-25 00:29,229.4,230.5,231.4,12.5,11.8,11.9,50.0,0.98,8.6,1.1,8.7,17550.8
17-06-25 00:30,230.0,230.0,229.9,11.7,12.4,11.8,50.03,0.96,8.8,1.0,8.9,17550.9
17-06-25 00:31,230.3,230.7,231.5,12.2,11.9,12.0,49.99,0.98,8.6,1.1,8.7,17551.0
17-06-25 00:32,230.6,230.6,230.7,12.1,11.7,12.5,49.99,0.96,9.0,1.3,9.1,17551.2
17-06-25 00:33,230.7,229.0,230.0,11.6,11.9,12.1,50.01,0.96,8.7,1.1,8.8,17551.3
17-06-25 00:34,230.6,230.9,230.4,12.3,12.4,12.3,50.0,0.99,8.5,1.0,8.6,17551.4
17-06-25 00:35,229.8,229.1,230.0,11.8,11.7,12.0,49.98,0.98,8.8,1.2,8.9,17551.5
17-06-25 00:36,230.9,230.0,230.9,12.2,11.6,12.0,50.03,0.98,8.8,1.1,8.9,17551.6
17-06-25 00:37,229.9,229.4,231.1,11.9,11.7,12.3,50.01,0.99,8.8,1.0,8.9,17551.7
17-06-25 00:38,229.4,229.9,231.0,12.0,12.2,11.8,50.0,0.98,8.5,1.1,8.6,17551.8
17-06-25 00:39,230.2,231.0,231.0,12.5,11.6,11.9,50.02,0.96,8.9,1.2,9.0,17551.9
17-06-25 00:40,231.0,230.8,230.6,12.1,12.0,11.5,49.99,0.98,8.6,1.3,8.7,17552.0
17-06-25 00:41,230.8,230.0,230.3,11.6,11.9,12.0,49.99,0.97,8.9,1.1,9.0,17552.1
17-06-25 00:42,230.0,229.8,230.0,11.9,12.3,12.0,50.03,0.97,8.9,1.1,9.0,17552.2
