Timestamp,Voltage_L1_V,Voltage_L2_V,Voltage_L3_V,Current_L1_A,Current_L2_A,Current_L3_A,Frequency_Hz,PowerFactor,ActivePower_kW,ReactivePower_kVAR,ApparentPower_kVA,Energy_kWh
16-06-25 10:00,230.5,231.2,229.8,12.3,11.8,12.1,50.01,0.98,8.5,1.2,8.7,10453.2
16-06-25 10:01,230.6,231.0,230.0,12.2,11.7,12.0,50.00,0.97,8.4,1.3,8.6,10453.4
16-06-25 10:02,230.4,230.8,229.9,12.4,11.9,12.2,49.99,0.98,8.6,1.1,8.8,10453.6
16-06-25 10:03,230.7,231.1,230.2,12.3,11.8,12.1,50.02,0.99,8.5,1.0,8.6,10453.8
16-06-25 10:04,230.5,231.3,229.7,12.1,11.6,12.0,50.00,0.98,8.3,1.2,8.5,10454.0
16-06-25 10:05,	231,	229.7,	231.5,	12.3,	12.2,	12,	49.99,	0.97,	8.5,	1.3,	8.8,	10454
16-06-25 10:06,	229.8,	229.8,	229.8,	11.9,	11.7,	11.9,	49.99,	0.99,	8.3,	1.2,	8.4,	10454.2
16-06-25 10:07,	231.1,	231.1,	229.7,	12.4,	11.9,	12.5,	50,	0.97,	8.3,	1.3,	8.6,	10454.4
16-06-25 10:08,	229.8,	230,	229.5,	12.4,	12, 	11.8,	49.99,	0.96,	8.5,	1.1,	8.9,	10454.6
16-06-25 10:09,	230.7,	229.8,	230.3,	12.2,	12.2,	12.1,	49.98,	0.98,	8.6,	1.1,	8.8,	10454.8
16-06-25 10:10,	229.8,	230.7,	231.3,	12.4,	11.7,	11.5,	50.01,	0.97,	8.4,	1.3,	8.7,	10455
16-06-25 10:11,	231.5,	231.2,	230.8,	11.8,	11.7,	12.5,	50.01,	0.98,	8.7,	1.1,	8.9,	10455.2
16-06-25 10:12,	230.8,	231,	229.6,	12.4,	11.9,	11.5,	50.01,	0.97,	8.6,	1.2,	8.9,	10455.4
16-06-25 10:13,	230.5,	230.1,	229.7,	12,	    11.9,	12.2,	49.98,	0.98,	8.6,	1.1,	8.8,	10455.6
16-06-25 10:14,	230.5,	229.8,	231.2,	11.8,	11.7,	11.8,	50.01,	0.96,	8.6,	1,	9,	10455.8
